Country ISO3,Last Data Year,Current Coverage,Predicted Coverage (Next Year),Neglect Probability (Model),INFORM Severity,Historical Neglect Score,Max Consecutive Years Underfunded,Composite Gap Score,Neglect Type
DJI,2020,-1.6070,-0.9807,0.8013,5.4000,0.8000,6,0.8370,Chronic + Deteriorating
ZMB,2025,-1.9215,-0.5815,0.6973,6.4000,0.8330,4,0.7838,Chronic + Deteriorating
HND,2025,-2.4363,-0.7279,0.7088,6.6000,0.7500,3,0.7772,Chronic + Deteriorating
GTM,2025,-1.7202,-0.6249,0.6945,7.0000,0.6670,3,0.7532,Chronic + Deteriorating
ZWE,2025,-2.2089,-0.7882,0.7331,7.1000,0.4120,4,0.7172,Chronic + Deteriorating
MRT,2017,-1.2031,-0.8948,0.7949,5.2000,0.2860,2,0.6693,Chronic + Deteriorating
IDN,2009,-0.8686,-0.7811,0.7649,5.4000,0.2860,1,0.6479,Chronic + Deteriorating
SLV,2025,-1.5426,-0.2919,0.6383,5.7000,0.6250,4,0.6394,Chronic + Deteriorating
VEN,2026,-2.3016,-0.0269,0.5160,7.5000,0.7500,3,0.6255,Chronic + Deteriorating
LSO,2020,-0.9236,-0.7633,0.7806,4.7000,0.2000,1,0.6115,Acutely Deteriorating
BDI,2023,-1.0309,-0.4280,0.6973,6.9000,0.1760,1,0.6049,Acutely Deteriorating
LKA,2011,-0.0821,-0.4961,0.6802,6.2000,0.3000,2,0.6002,Chronic + Deteriorating
MWI,2025,-0.9275,-0.1923,0.6348,6.5000,0.2860,1,0.5634,Chronic + Deteriorating
HTI,2026,-1.9871,-0.2516,0.4962,8.7000,0.4500,6,0.5602,Chronic + Deteriorating
UKR,2026,-1.5726,-0.0938,0.4819,9.2000,0.3080,3,0.5222,Chronic + Deteriorating
UGA,2010,-0.2676,-0.2015,0.6593,5.9000,0.0830,1,0.5041,Acutely Deteriorating
SDN,2026,-2.1134,-0.1866,0.4960,9.6000,0.1110,2,0.4911,Acutely Deteriorating
BFA,2026,-2.4128,-0.1616,0.4850,8.4000,0.2780,2,0.4869,Chronic + Deteriorating
YEM,2026,-2.3681,-0.1515,0.5078,9.2000,0.1050,2,0.4861,Acutely Deteriorating
SSD,2026,-1.8631,-0.2147,0.5124,9.3000,0.0620,1,0.4812,Acutely Deteriorating
MLI,2026,-2.3154,-0.1143,0.4842,8.3000,0.2670,2,0.4793,Chronic + Deteriorating
SYR,2026,-2.2173,-0.1682,0.4712,8.9000,0.2350,2,0.4791,Chronic + Deteriorating
KEN,2023,1.1698,-0.2206,0.5866,6.5000,0.1330,1,0.4714,Acutely Deteriorating
MMR,2026,-1.5824,-0.1499,0.4773,8.8000,0.2000,3,0.4708,Acutely Deteriorating
ETH,2024,-1.4135,-0.1675,0.4929,8.3000,0.2000,2,0.4675,Acutely Deteriorating
COL,2026,-0.3003,0.0142,0.4740,8.3000,0.2500,1,0.4644,Chronic + Deteriorating
PAK,2021,2.2552,0.2680,0.4600,8.3000,0.2860,2,0.4618,Chronic + Deteriorating
MOZ,2026,-1.7347,0.3456,0.4569,6.9000,0.4550,4,0.4586,Chronic + Deteriorating
SOM,2026,-2.3132,-0.0631,0.4938,8.6000,0.1110,2,0.4525,Acutely Deteriorating
COD,2026,-1.4295,-0.2229,0.4806,8.9000,0.1110,2,0.4509,Acutely Deteriorating
NGA,2026,-1.1319,0.1046,0.4601,8.4000,0.2310,2,0.4490,Chronic + Deteriorating
TCD,2026,-1.8688,0.0888,0.4844,8.2000,0.1740,2,0.4479,Acutely Deteriorating
AFG,2026,-2.3414,-0.0489,0.4719,9.1000,0.0870,1,0.4427,Acutely Deteriorating
CAF,2026,-2.0682,0.0168,0.4633,7.9000,0.2080,3,0.4270,Acutely Deteriorating
LBY,2024,3.4405,-0.0230,0.4847,6.4000,0.3000,2,0.4204,Chronic + Deteriorating
PHL,2014,0.0409,0.2163,0.5131,5.3000,0.3330,2,0.4174,Chronic + Deteriorating
CMR,2026,-1.9216,0.0934,0.4464,7.4000,0.2310,2,0.3995,Chronic + Deteriorating
PSE,2026,-2.4108,0.0281,0.4740,8.1000,0.0420,1,0.3947,Acutely Deteriorating
NER,2026,-2.4751,0.1960,0.4726,7.2000,0.1180,2,0.3833,Acutely Deteriorating
LBN,2026,-1.7312,0.1670,0.4465,7.5000,0.1110,1,0.3672,Acutely Deteriorating
ERI,2005,0.2658,0.2198,0.5417,5.9000,0.0000,0,0.3667,Acutely Deteriorating
CIV,2012,0.2030,-0.1095,0.5153,4.3000,0.1670,1,0.3332,Acutely Deteriorating
MDG,2026,-0.8023,-0.0349,0.4553,5.8000,0.0000,0,0.2804,Acutely Deteriorating
IRQ,2022,1.5742,0.6697,0.3833,6.7000,0.0830,1,0.2692,Acutely Deteriorating
AGO,2005,0.9731,0.3560,0.4080,6.6000,0.0000,0,0.2643,Acutely Deteriorating
